Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage
Chosen by Majestic Valpolicella Superiore DOC 2020/21,11.99,75.0,Italy,9.8,"Black Fruit, Red Cherry, Spice, Vanilla",per bottle,Red,13.0,2021
Maison Chanzy 'En Rosey' Rully Rouge 2019/20,24.99,75.0,France,10.5,"Strawberry, Cranberry, Red Cherry",per bottle,Red,14.0,2020
Triplica Greco di Tufo DOCG 2021/22,12.99,75.0,Italy,9.8,"Stone Fruit, Citrus Fruit, Floral",per bottle,White,13.0,2021
"Vilarnau ‘Gaudi’ Organic Cava Brut Reserva, Penedès",13.99,750.0,Spain,8.6,"Bread, Green Apple, Pastry, Pear",per bottle,White,11.5,Non-Vintage
"Pardon et Fils Fleurie 2021/22, Côte des Labourons",15.99,75.0,France,10.1,"Strawberry, Black Cherry, Raspberry",per bottle,Red,13.5,2022
"Peyrassol 'Réserve des Templiers' Rosé 2021/22 Magnum, Côtes de Provence",35.99,1.5,France,19.5,"Herbaceous, Peach, Raspberry, Strawberry",per bottle,Rosé,13.0,2022
"Rustenberg Cabernet Sauvignon, 2020/21 Stellenbosch",14.99,75.0,South Africa,10.5,"Tobacco, Black Fruit, Black Plum, Blackcurrant, Earth",per bottle,Red,14.0,2021
Baron de Boutisse Saint-Émilion Grand Cru 2018/19,19.99,75.0,France,10.9,"Cedar, Black Plum, Blackcurrant",per bottle,Red,14.5,2019
"Chosen by Majestic Pinot Noir 2022, France",9.99,75.0,France,9.4,"Red Cherry, Red Fruit, Sweet Spice",per bottle,Red,12.5,2022
Chosen by Majestic Vinho Verde DOC 2022,8.99,75.0,Portugal,8.3,"Citrus Fruit, Green Apple, Lemon",per bottle,White,11.0,2022
Gabriel Allard Côtes du Rhône Rouge 2022,9.99,75.0,France,10.9,"Black Pepper, Black Plum, Red Fruit",per bottle,Red,14.5,2022
Alain Jaume 'Roquedon' Organic Lirac 2018/19,18.99,75.0,France,11.3,"Spice, Black Plum, Blackberry, Earth, Raspberry",per bottle,Red,15.0,2019
"Mirabeau 'Pure' Rosé 2021/22 Magnum, Côtes de Provence",37.99,1.5,France,19.5,"Herbaceous, Peach, Raspberry, Strawberry",per bottle,Rosé,13.0,2022
"Jim Barry 'The Lodge Hill' Riesling 2021/22, Clare Valley",15.99,75.0,Australia,9.4,"Petrol, Citrus Fruit, Grapefruit, Green Apple, Honeysuckle, Lemon, Lime, Orange, Peach, Pear",per bottle,White,12.5,2022
"Nettie Viognier 2019/21, California",11.99,75.0,USA,10.5,"Pear, Apricot, Floral, Honey, Peach",per bottle,White,14.0,2021
"Thierry Delaunay 'Manoir' Sauvignon Blanc 2021/22, Touraine",12.99,75.0,France,9.8,"Green Apple, Citrus Fruit, Grass",per bottle,White,13.0,2022
Lanson Le Black Label Brut Champagne Magnum,99.99,1.5,France,18.8,"Bread, Citrus Fruit, Honey",per bottle,White,12.5,Non-Vintage
"Wind and Waves Alvarinho 2022, Vinho Verde DOC",11.99,75.0,Portugal,9.0,"Citrus Fruit, Floral, Tropical Fruit",per bottle,White,12.0,2022
Lanson Le Blanc de Blancs Brut Champagne,75.99,75.0,France,9.4,-,per bottle,White,12.5,Non-Vintage
"Mud House Chilean Sauvignon Blanc 2021/22, Central Valley",9.99,75.0,Chile,9.4,"Citrus Fruit, Grass, Tropical Fruit",per bottle,White,12.5,2022
